番号,駅名,ふりがな,所在地（都道府県・市町村名）,乗り入れ路線名１（上位２路線）,乗り入れ路線名２（上位２路線）
308,姉ヶ崎,あねがさき,千葉県市原市,ＪＲ東日本　内房線,
309,姉別,あねべつ,北海道浜中町,ＪＲ北海道　根室本線,
310,穴太,あのう,三重県東員町,近鉄北勢線,
311,穴太,あのお,滋賀県大津市,京阪石山坂本線,
312,穴生,あのお,福岡県北九州市八幡西区,＃筑豊電気鉄道,
313,網走,あばしり,北海道網走市,ＪＲ北海道　石北本線,ＪＲ北海道　釧網本線
314,網引,あびき,兵庫県加西市,北条鉄道北条線,
315,我孫子,あびこ,千葉県我孫子市,ＪＲ東日本　常磐線,ＪＲ東日本　成田線
316,あびこ,あびこ,大阪府大阪市住吉区,大阪市営御堂筋線,
317,我孫子町,あびこちょう,大阪府大阪市住吉区,ＪＲ西日本　阪和線,
318,我孫子前,あびこまえ,大阪府大阪市住吉区,南海高野線,
319,我孫子道,あびこみち,大阪府大阪市住吉区,＃阪堺電気軌道阪堺線,
320,安平,あびら,北海道早来町,ＪＲ北海道　室蘭本線,
321,あぶくま,あぶくま,宮城県丸森町,阿武隈急行,
322,アプトいちしろ,あぷといちしろ,静岡県本川根町,大井川鐵道井川線,
323,油川,あぶらかわ,青森県青森市,ＪＲ東日本　津軽線,
324,油津,あぶらつ,宮崎県日南市,ＪＲ九州　日南線,
325,油田,あぶらでん,富山県砺波市,ＪＲ西日本　城端線,
326,油日,あぶらひ,滋賀県甲賀町,ＪＲ西日本　草津線,
327,阿分,あふん,北海道増毛町,ＪＲ北海道　留萌本線,
328,安部,あべ,鳥取県八東町,若桜鉄道若桜線,
329,安倍川,あべかわ,静岡県静岡市,ＪＲ東海　東海道本線,
330,阿倍野,あべの,大阪府大阪市阿倍野区,大阪市営谷町線,＃阪堺電気軌道上町線
331,安部山公園,あべやまこうえん,福岡県北九州市小倉南区,ＪＲ九州　日豊本線,
332,阿母崎,あぼざき,長崎県吾妻町,島原鉄道,
333,網干,あぼし,兵庫県姫路市,ＪＲ西日本　山陽本線,
334,海士有木,あまありき,千葉県市原市,小湊鉄道,
335,尼ヶ坂,あまがさか,愛知県名古屋市北区,名鉄瀬戸線,
336,尼崎,あまがさき,兵庫県尼崎市,ＪＲ西日本　東海道本線,ＪＲ西日本　福知山線
337,尼崎,あまがさき,兵庫県尼崎市,阪神本線,阪神西大阪線
338,尼崎センタープール前,あまがさきせんたーぷーるまえ,兵庫県尼崎市,阪神本線,
339,天ヶ瀬,あまがせ,大分県天瀬町,ＪＲ九州　久大本線,
340,尼ヶ辻,あまがつじ,奈良県奈良市,近鉄橿原線,
341,甘木,あまぎ,福岡県甘木市,西鉄甘木線,
342,甘木,あまぎ,福岡県甘木市,甘木鉄道甘木線,
343,尼子,あまご,滋賀県甲良町,近江鉄道本線,
344,甘地,あまじ,兵庫県市川町,ＪＲ西日本　播但線,
345,天津,あまつ,大分県宇佐市,ＪＲ九州　日豊本線,
346,天岩戸,あまのいわと,宮崎県高千穂町,高千穂鉄道高千穂線,
347,天橋立,あまのはしだて,京都府宮津市,北近畿タンゴ鉄道宮津線,
348,雨晴,あまはらし,富山県高岡市,ＪＲ西日本　氷見線,
349,あまや,あまや,福島県会津若松市,会津鉄道会津線,
350,天見,あまみ,大阪府河内長野市,南海高野線,
351,余子,あまりこ,鳥取県境港市,ＪＲ西日本　境線,
352,餘部,あまるべ,兵庫県香住町,ＪＲ西日本　山陰本線,
353,余目,あまるめ,山形県余目町,ＪＲ東日本　羽越本線,ＪＲ東日本　陸羽西線
354,網野,あみの,京都府網野町,北近畿タンゴ鉄道宮津線,
355,雨宮,あめのみや,長野県更埴市,長野電鉄河東線,
356,安茂里,あもり,長野県長野市,ＪＲ東日本　信越本線,
357,綾織,あやおり,岩手県遠野市,ＪＲ東日本　釜石線,
358,愛子,あやし,宮城県仙台市青葉区,ＪＲ東日本　仙山線,
359,綾瀬,あやせ,東京都足立区,ＪＲ東日本　常磐線,営団千代田線
360,綾ノ町,あやのちょう,大阪府堺市,＃阪堺電気軌道阪堺線,
361,綾部,あやべ,京都府綾部市,ＪＲ西日本　山陰本線,ＪＲ西日本　舞鶴線
